2014-11-03 14:05:46 status half-installed libpcre3:amd64 1:8.30-5
2014-11-03 14:05:46 status triggers-pending man-db:amd64 2.6.2-1
2014-11-03 14:05:46 status half-installed libpcre3:amd64 1:8.30-5
2014-11-03 14:05:46 status unpacked libpcre3:amd64 1:8.30-5
2014-11-03 14:05:46 status unpacked libpcre3:amd64 1:8.30-5
2014-11-03 14:05:46 install imagemagick-common:all <none> 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:46 status half-installed imagemagick-common:all 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:46 status unpacked imagemagick-common:all 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:46 status unpacked imagemagick-common:all 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:47 install libavahi-common-data:amd64 <none> 0.6.31-2
2014-11-03 14:05:47 status half-installed libavahi-common-data:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-common-data:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-common-data:amd64 0.6.31-2
2014-11-03 14:05:47 install libavahi-common3:amd64 <none> 0.6.31-2
2014-11-03 14:05:47 status half-installed libavahi-common3:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-common3:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-common3:amd64 0.6.31-2
2014-11-03 14:05:47 install libdbus-1-3:amd64 <none> 1.6.8-1+deb7u4
2014-11-03 14:05:47 status half-installed libdbus-1-3:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:47 status unpacked libdbus-1-3:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:47 status unpacked libdbus-1-3:amd64 1.6.8-1+deb7u4
2014-11-03 14:05:47 install libavahi-client3:amd64 <none> 0.6.31-2
2014-11-03 14:05:47 status half-installed libavahi-client3:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-client3:amd64 0.6.31-2
2014-11-03 14:05:47 status unpacked libavahi-client3:amd64 0.6.31-2
2014-11-03 14:05:47 install ttf-dejavu-core:all <none> 2.33-3
2014-11-03 14:05:47 status half-installed ttf-dejavu-core:all 2.33-3
2014-11-03 14:05:47 status unpacked ttf-dejavu-core:all 2.33-3
2014-11-03 14:05:47 status unpacked ttf-dejavu-core:all 2.33-3
2014-11-03 14:05:47 install fontconfig-config:all <none> 2.9.0-7.1
2014-11-03 14:05:47 status half-installed fontconfig-config:all 2.9.0-7.1
2014-11-03 14:05:47 status half-installed fontconfig-config:all 2.9.0-7.1
2014-11-03 14:05:47 status unpacked fontconfig-config:all 2.9.0-7.1
2014-11-03 14:05:47 status unpacked fontconfig-config:all 2.9.0-7.1
2014-11-03 14:05:48 install libfontconfig1:amd64 <none> 2.9.0-7.1
2014-11-03 14:05:48 status half-installed libfontconfig1:amd64 2.9.0-7.1
2014-11-03 14:05:48 status unpacked libfontconfig1:amd64 2.9.0-7.1
2014-11-03 14:05:48 status unpacked libfontconfig1:amd64 2.9.0-7.1
2014-11-03 14:05:48 install libpixman-1-0:amd64 <none> 0.26.0-4+deb7u1
2014-11-03 14:05:48 status half-installed libpixman-1-0:amd64 0.26.0-4+deb7u1
2014-11-03 14:05:48 status unpacked libpixman-1-0:amd64 0.26.0-4+deb7u1
2014-11-03 14:05:48 status unpacked libpixman-1-0:amd64 0.26.0-4+deb7u1
2014-11-03 14:05:48 install libpng12-0:amd64 <none> 1.2.49-1
2014-11-03 14:05:48 status half-installed libpng12-0:amd64 1.2.49-1
2014-11-03 14:05:48 status unpacked libpng12-0:amd64 1.2.49-1
2014-11-03 14:05:48 status unpacked libpng12-0:amd64 1.2.49-1
2014-11-03 14:05:48 install libxcb-render0:amd64 <none> 1.8.1-2+deb7u1
2014-11-03 14:05:48 status half-installed libxcb-render0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 status unpacked libxcb-render0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 status unpacked libxcb-render0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 install libxcb-shm0:amd64 <none> 1.8.1-2+deb7u1
2014-11-03 14:05:48 status half-installed libxcb-shm0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 status unpacked libxcb-shm0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 status unpacked libxcb-shm0:amd64 1.8.1-2+deb7u1
2014-11-03 14:05:48 install libxrender1:amd64 <none> 1:0.9.7-1+deb7u1
2014-11-03 14:05:48 status half-installed libxrender1:amd64 1:0.9.7-1+deb7u1
2014-11-03 14:05:48 status unpacked libxrender1:amd64 1:0.9.7-1+deb7u1
2014-11-03 14:05:48 status unpacked libxrender1:amd64 1:0.9.7-1+deb7u1
2014-11-03 14:05:48 install libcairo2:amd64 <none> 1.12.2-3
2014-11-03 14:05:48 status half-installed libcairo2:amd64 1.12.2-3
2014-11-03 14:05:48 status unpacked libcairo2:amd64 1.12.2-3
2014-11-03 14:05:48 status unpacked libcairo2:amd64 1.12.2-3
2014-11-03 14:05:49 install libffi5:amd64 <none> 3.0.10-3
2014-11-03 14:05:49 status half-installed libffi5:amd64 3.0.10-3
2014-11-03 14:05:49 status unpacked libffi5:amd64 3.0.10-3
2014-11-03 14:05:49 status unpacked libffi5:amd64 3.0.10-3
2014-11-03 14:05:49 install libglib2.0-0:amd64 <none> 2.33.12+really2.32.4-5
2014-11-03 14:05:49 status half-installed libglib2.0-0:amd64 2.33.12+really2.32.4-5
2014-11-03 14:05:49 status unpacked libglib2.0-0:amd64 2.33.12+really2.32.4-5
2014-11-03 14:05:49 status unpacked libglib2.0-0:amd64 2.33.12+really2.32.4-5
2014-11-03 14:05:49 install libxml2:amd64 <none> 2.8.0+dfsg1-7+wheezy2
2014-11-03 14:05:49 status half-installed libxml2:amd64 2.8.0+dfsg1-7+wheezy2
2014-11-03 14:05:49 status unpacked libxml2:amd64 2.8.0+dfsg1-7+wheezy2
2014-11-03 14:05:49 status unpacked libxml2:amd64 2.8.0+dfsg1-7+wheezy2
2014-11-03 14:05:49 install libcroco3:amd64 <none> 0.6.6-2
2014-11-03 14:05:49 status half-installed libcroco3:amd64 0.6.6-2
2014-11-03 14:05:49 status unpacked libcroco3:amd64 0.6.6-2
2014-11-03 14:05:49 status unpacked libcroco3:amd64 0.6.6-2
2014-11-03 14:05:49 install libcups2:amd64 <none> 1.5.3-5+deb7u4
2014-11-03 14:05:49 status half-installed libcups2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:49 status unpacked libcups2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:49 status unpacked libcups2:amd64 1.5.3-5+deb7u4
2014-11-03 14:05:49 install libjpeg8:amd64 <none> 8d-1+deb7u1
2014-11-03 14:05:49 status half-installed libjpeg8:amd64 8d-1+deb7u1
